PROPERTYID,PRICE,AREA,ROOMNUMBER,BATHNUMBER,STATUS,STUDIO,PENTHOUSE,DUPLEX,SWIMMINGPOOL,ELEVATOR,DISTRICTNAME
00192,199975,40,2,1,Second hand / Good state,0,0,0,0,0,Centro
00193,713195,141,3,2,Second hand / Good state,0,1,1,0,1,Hortaleza
00194,379212,41,1,1,Second hand / Good state,0,0,0,1,1,Chamartín
00195,182829,109,4,2,Second hand / Good state,0,0,0,0,0,Tetuán
00196,247498,61,1,1,Second hand / Good state,0,0,0,0,0,Fuencarral
00197,877163,203,5,2,Second hand / Good state,0,0,0,0,0,Centro
00198,175303,78,3,1,Second hand / Needs reform,0,0,0,0,0,San Blas
00199,349757,130,4,2,Second hand / Good state,0,0,0,1,1,Puente de Vallecas
00200,153587,71,2,1,Second hand / Good state,0,0,0,0,1,Moratalaz
00201,862575,272,5,1,Second hand / Needs reform,0,0,0,0,0,Centro
00202,132107,72,3,1,Second hand / Good state,0,0,0,0,1,Puente de Vallecas
00203,331451,98,4,2,Second hand / Good state,0,0,0,1,1,Vicálvaro
00204,1432276,345,7,3,Second hand / Needs reform,0,0,0,0,1,Moncloa
00205,307058,44,1,1,Second hand / Good state,0,0,0,0,1,Salamanca
00206,99281,36,2,1,Second hand / Good state,0,0,0,0,1,Puente de Vallecas
00207,187206,53,1,1,Second hand / Good state,0,0,0,0,0,Centro
00208,472007,102,4,2,Second hand / Good state,0,0,0,0,1,Retiro
00209,230198,49,2,1,Second hand / Good state,0,0,0,0,1,Chamberí
00210,86954,47,2,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00211,610494,127,3,2,Second hand / Needs reform,0,0,0,0,1,Chamberí
00212,624338,157,3,3,Second hand / Good state,0,0,0,0,1,Chamberí
00213,767170,189,2,2,Second hand / Good state,0,1,0,0,1,Chamartín
00214,630817,68,2,2,Second hand / Good state,0,1,0,0,0,Centro
00215,417691,92,2,2,Second hand / Good state,0,1,0,0,1,Chamartín
00216,615826,112,3,2,Second hand / Needs reform,0,0,0,0,1,Chamberí
00217,399147,39,0,1,Second hand / Good state,1,0,0,0,1,Moncloa
00218,55043,46,1,1,Second hand / Needs reform,0,0,0,0,0,Puente de Vallecas
00219,260841,46,1,1,Second hand / Good state,0,0,0,0,1,Chamberí
00220,226941,79,3,1,Second hand / Good state,0,0,0,0,1,Hortaleza
00221,603877,165,4,3,Second hand / Good state,0,0,0,0,1,Retiro
00222,132459,80,3,1,Second hand / Good state,0,0,0,0,0,Latina
00223,206726,78,2,1,Second hand / Good state,0,0,0,1,1,Puente de Vallecas
00224,338524,77,2,2,Second hand / Good state,0,0,0,0,0,Salamanca
00225,317117,93,3,1,Second hand / Good state,0,0,0,0,1,Tetuán
00226,447803,96,2,2,New development,0,0,0,1,1,Salamanca
00227,1203604,228,4,2,Second hand / Unknown,0,0,0,0,1,Chamberí
00228,369683,81,3,1,Second hand / Good state,0,0,0,0,1,Centro
00229,130509,64,2,2,Second hand / Good state,0,0,0,0,1,Latina
00230,217602,24,0,1,Second hand / Good state,1,0,0,0,1,Chamberí
00231,174723,55,1,1,Second hand / Good state,0,0,0,1,1,Villa de Vallecas
00232,598539,141,4,2,Second hand / Good state,0,0,0,1,1,Fuencarral
00233,419717,109,4,2,Second hand / Good state,0,0,0,1,1,Fuencarral
00234,1501115,256,5,3,Second hand / Good state,0,0,0,0,1,Chamartín
00235,627775,126,4,3,New development,0,0,0,1,1,Arganzuela
00236,277785,67,2,1,Second hand / Good state,0,0,0,0,1,Fuencarral
00237,2126996,215,3,3,Second hand / Needs reform,0,1,0,0,1,Salamanca
00238,198548,84,2,1,Second hand / Good state,0,0,0,0,1,Ciudad Lineal
00239,159445,82,2,2,Second hand / Good state,0,0,0,1,1,Puente de Vallecas
00240,675188,138,2,2,Second hand / Good state,0,1,0,0,1,Salamanca
00241,156602,48,1,1,Second hand / Good state,0,1,0,0,1,Carabanchel
00242,161496,81,3,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00243,489819,101,2,1,Second hand / Needs reform,0,0,0,0,0,Chamberí
00244,302166,66,2,1,Second hand / Good state,0,0,0,0,1,Chamartín
00245,306458,76,2,2,Second hand / Good state,0,0,0,0,0,Chamartín
00246,249618,60,1,1,Second hand / Good state,0,0,0,0,1,Centro
00247,250000,71,3,2,Second hand / Good state,0,0,0,0,0,Fuencarral
00248,208402,54,3,1,Second hand / Needs reform,0,0,0,0,1,Centro
00249,285633,80,3,1,Second hand / Good state,0,0,0,0,1,Moncloa
00250,470885,97,2,2,New development,0,0,0,1,1,Ciudad Lineal
00251,163435,49,1,1,Second hand / Unknown,0,0,0,0,0,San Blas
00252,74564,41,3,1,Second hand / Good state,0,0,0,0,0,Tetuán
00253,68905,60,3,1,Second hand / Good state,0,0,0,0,0,Villaverde
00254,120653,55,2,1,Second hand / Needs reform,0,0,0,0,0,Latina
00255,231486,56,2,1,Second hand / Good state,0,0,0,0,1,Moncloa
00256,316667,114,4,2,Second hand / Good state,0,0,0,0,1,Latina
00257,514328,118,2,2,Second hand / Good state,0,0,0,0,1,Centro
00258,417717,91,2,2,Second hand / Good state,0,0,0,0,1,Retiro
00259,152239,34,0,0,Second hand / Needs reform,0,0,0,0,0,Arganzuela
00260,115987,49,1,1,Second hand / Needs reform,0,0,0,0,0,Tetuán
00261,361103,66,2,1,Second hand / Good state,0,0,0,0,0,Chamartín
00262,202648,34,1,1,Second hand / Good state,0,0,0,0,1,Salamanca
00263,756041,158,4,2,Second hand / Needs reform,0,0,0,0,1,Salamanca
00264,363367,99,3,2,Second hand / Good state,0,0,0,1,1,San Blas
00265,634530,174,4,3,Second hand / Needs reform,0,0,0,0,1,Salamanca
00266,789232,142,3,2,Second hand / Good state,0,0,0,1,1,Chamartín
00267,126896,67,2,1,Second hand / Good state,0,0,0,0,0,Latina
00268,214149,49,1,1,Second hand / Good state,0,0,1,0,0,Centro
00269,764458,116,3,2,Second hand / Unknown,0,0,0,0,1,Chamberí
00270,247722,84,0,2,Second hand / Good state,1,0,0,0,0,Salamanca
00271,651808,132,4,2,Second hand / Good state,0,0,0,0,1,Salamanca
00272,172762,56,2,1,Second hand / Good state,0,0,0,0,0,Latina
00273,121574,66,3,1,Second hand / Good state,0,0,0,0,0,San Blas
00274,232545,69,2,2,New development,0,1,0,1,1,Villaverde
00275,253564,38,1,1,Second hand / Good state,0,0,0,0,1,Salamanca
00276,529328,107,3,2,Second hand / Good state,0,0,0,0,0,Centro
00277,124179,50,1,1,Second hand / Good state,0,0,0,0,0,Tetuán
00278,153638,67,3,1,Second hand / Good state,0,0,0,0,1,Carabanchel
00279,174062,67,3,1,Second hand / Good state,0,0,0,0,1,Vicálvaro
00280,492412,114,2,2,Second hand / Good state,0,0,0,0,1,Retiro
00281,265395,90,1,1,Second hand / Good state,0,0,0,1,1,Ciudad Lineal
00282,317472,73,1,1,Second hand / Good state,0,0,0,0,0,Centro
00283,559835,94,2,2,Second hand / Good state,0,0,0,0,1,Salamanca
00284,135544,81,3,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00285,222757,42,1,1,Second hand / Good state,0,0,0,1,1,Hortaleza
00286,921487,117,3,2,Second hand / Good state,0,0,0,0,1,Salamanca
00287,244350,103,3,2,Second hand / Needs reform,0,0,0,0,1,Latina
00288,555528,113,2,2,Second hand / Good state,0,0,0,0,1,Ciudad Lineal
00289,129247,73,2,1,Second hand / Needs reform,0,0,0,0,1,Carabanchel
00290,308088,55,2,1,Second hand / Good state,0,0,0,0,1,Chamartín
00291,137428,88,3,1,Second hand / Good state,0,0,0,0,1,San Blas
00292,201177,93,3,2,Second hand / Needs reform,0,0,0,0,1,Moratalaz
00293,274998,149,3,2,Second hand / Good state,0,0,0,1,1,Vicálvaro
00294,280200,92,3,2,Second hand / Good state,0,1,0,0,1,Carabanchel
00295,1651308,307,5,2,Second hand / Needs reform,0,0,0,0,1,Chamberí
00296,141000,56,3,1,Second hand / Good state,0,0,0,0,0,Puente de Vallecas
00297,81574,63,3,1,Second hand / Good state,0,0,0,0,0,Villaverde
00298,793901,197,3,3,Second hand / Needs reform,0,0,0,1,1,Chamartín
00299,590265,93,2,2,Second hand / Good state,0,1,0,0,1,Centro
00300,139541,61,3,1,Second hand / Needs reform,0,0,0,0,0,Ciudad Lineal
00301,160599,48,1,1,Second hand / Needs reform,0,0,0,0,0,Arganzuela
00302,445390,104,2,2,Second hand / Good state,0,0,0,0,1,Centro
00303,188477,106,2,2,New development,0,0,0,1,1,Vicálvaro
00304,626890,144,4,2,Second hand / Needs reform,0,0,0,0,1,Chamartín
00305,565138,183,5,3,Second hand / Needs reform,0,0,0,0,1,Retiro
00306,200613,85,3,1,Second hand / Good state,0,0,0,0,1,Latina
00307,189963,47,1,1,Second hand / Good state,0,1,0,0,1,Chamartín
00308,185072,101,3,1,Second hand / Good state,0,0,0,0,0,San Blas
00309,1589884,187,4,4,Second hand / Good state,0,0,0,0,1,Salamanca
00310,263147,74,2,1,Second hand / Good state,0,0,0,0,1,Tetuán
00311,262649,94,2,2,Second hand / Needs reform,0,0,0,0,1,Moratalaz
00312,288352,47,1,1,Second hand / Good state,0,0,0,1,1,Arganzuela
00313,884981,216,4,3,Second hand / Good state,0,0,0,1,1,Tetuán
00314,550139,80,3,1,Second hand / Good state,0,0,0,0,1,Salamanca
00315,830670,143,5,5,Second hand / Good state,0,0,0,0,1,Centro
00316,384029,72,3,1,Second hand / Needs reform,0,0,0,0,0,Chamberí
00317,143736,104,3,1,Second hand / Good state,0,0,0,0,1,Villaverde
00318,417012,94,2,1,Second hand / Good state,0,0,0,0,1,Retiro
00319,379134,54,2,1,Second hand / Good state,0,0,0,0,1,Centro
00320,335367,90,3,1,Second hand / Good state,0,0,0,0,0,Centro
00321,300524,78,2,2,Second hand / Good state,0,0,0,0,1,Ciudad Lineal
00322,255538,100,3,2,New development,0,0,0,1,1,Latina
00323,242815,61,1,1,Second hand / Good state,0,0,0,0,1,Salamanca
00324,289887,60,1,1,Second hand / Good state,0,0,0,0,1,Centro
00325,248093,97,3,1,Second hand / Needs reform,0,0,0,0,1,Arganzuela
00326,241118,66,1,1,Second hand / Good state,0,0,0,0,1,Chamartín
00327,561186,144,4,3,Second hand / Needs reform,0,0,0,0,1,Retiro
00328,149582,71,3,1,Second hand / Good state,0,0,0,0,1,Vicálvaro
00329,305987,116,3,2,Second hand / Good state,0,0,0,1,1,Vicálvaro
00330,138586,65,2,1,Second hand / Good state,0,0,0,0,0,Villa de Vallecas
00331,688567,136,4,3,New development,0,0,0,1,1,Salamanca
00332,776818,108,3,1,Second hand / Good state,0,0,0,0,1,Salamanca
00333,221127,35,1,1,Second hand / Good state,0,0,0,0,0,Centro
00334,186158,44,2,1,Second hand / Good state,0,0,0,0,0,Arganzuela
00335,432925,66,2,1,Second hand / Unknown,0,0,0,0,1,Retiro
00336,282256,83,2,2,Second hand / Good state,0,0,0,1,1,Villa de Vallecas
00337,635593,152,7,2,Second hand / Needs reform,0,0,0,0,1,Centro
00338,480618,97,2,2,Second hand / Good state,0,1,0,1,1,Fuencarral
00339,5780817,440,4,4,Second hand / Good state,0,1,0,0,1,Retiro
00340,1159909,160,3,3,Second hand / Good state,0,0,0,0,1,Chamberí
00341,656765,100,2,2,Second hand / Good state,0,1,0,0,1,Salamanca
00342,523948,107,2,2,Second hand / Good state,0,0,0,0,1,Centro
00343,1546942,364,5,3,Second hand / Needs reform,0,0,0,0,1,Salamanca
00344,571552,210,5,2,Second hand / Needs reform,0,0,0,0,1,Salamanca
00345,717645,157,4,2,Second hand / Needs reform,0,0,0,0,1,Salamanca
00346,138572,54,2,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00347,136430,61,1,1,Second hand / Good state,0,0,0,0,0,Villa de Vallecas
00348,124465,66,2,1,Second hand / Good state,0,0,0,0,1,Usera
00349,285985,92,2,2,Second hand / Good state,0,0,0,1,1,Villaverde
00350,143983,111,3,2,Second hand / Good state,0,0,0,0,1,Usera
00351,296391,82,2,1,Second hand / Good state,0,0,0,1,1,Latina
00352,295736,73,1,1,Second hand / Good state,0,0,0,1,1,Fuencarral
00353,571933,179,4,2,Second hand / Needs reform,0,0,0,0,1,Salamanca
00354,167986,59,2,1,Second hand / Good state,0,1,0,0,1,Villa de Vallecas
00355,569209,160,3,2,Second hand / Good state,0,0,0,1,1,Moncloa
00356,792450,162,3,3,Second hand / Good state,0,0,0,1,1,Hortaleza
00357,409710,171,4,2,Second hand / Needs reform,0,0,0,0,1,Chamberí
00358,367952,126,3,2,Second hand / Good state,0,0,0,0,1,Chamberí
00359,1426983,155,2,3,Second hand / Good state,0,0,0,0,1,Chamartín
00360,1204619,178,3,3,Second hand / Good state,0,0,0,0,1,Retiro
00361,365232,135,4,2,Second hand / Good state,0,0,0,0,1,Moratalaz
00362,80555,59,3,1,Second hand / Needs reform,0,0,0,0,0,Hortaleza
00363,233569,128,3,2,Second hand / Good state,0,0,0,0,1,Latina
00364,200403,48,2,1,Second hand / Unknown,0,0,0,0,1,Salamanca
00365,697613,225,4,3,Second hand / Good state,0,0,0,0,1,Chamberí
00366,168493,69,3,1,Second hand / Unknown,0,0,0,0,1,Arganzuela
00367,52608,20,2,1,Second hand / Good state,0,0,0,0,1,Arganzuela
00368,252409,54,2,2,Second hand / Unknown,0,0,0,0,1,Centro
